date;time;temp °C;humidity %;pressure hPA;lux;average mic;pm1;pm2.5;pm10;gas;
21.01.02;15:19:28;22.9;54;1004;276;5.5;5;8;8;439485;
21.01.02;15:19:38;22.9;53;1004;255;8.4;5;9;10;445508;
21.01.02;15:19:49;22.9;54;1004;263;6.2;5;9;10;440335;
21.01.02;15:19:59;22.9;54;1004;276;7.9;6;9;10;440052;
21.01.02;15:20:10;22.9;54;1004;280;5.9;6;8;9;438075;
21.01.02;15:20:20;22.9;54;1004;292;5.1;6;8;9;433347;
21.01.02;15:20:31;22.9;54;1004;271;6.1;6;9;11;433623;
21.01.02;15:20:41;22.9;54;1004;281;4.8;6;8;10;436116;
21.01.02;15:20:52;22.9;54;1003;276;8.3;6;8;10;436116;
21.01.02;15:21:02;22.9;54;1003;272;5.4;5;8;9;443194;
21.01.02;15:21:13;22.9;54;1003;281;5.2;5;8;9;444637;
21.01.02;15:21:23;22.9;54;1004;268;4.9;5;8;9;434174;
21.01.02;15:21:34;22.9;54;1003;268;5.4;4;8;8;430071;
21.01.02;15:21:44;22.9;54;1004;297;6.3;6;8;9;435004;
21.01.02;15:21:55;22.9;54;1004;272;4.2;6;8;9;434174;
21.01.02;15:22:05;22.9;54;1003;263;4.9;4;6;7;429530;
21.01.02;15:22:16;22.9;54;1004;280;5.4;6;9;9;435837;
21.01.02;15:22:26;22.8;54;1003;284;5.5;6;9;9;448140;
21.01.02;15:22:37;22.8;54;1004;273;6.4;6;10;10;449616;
21.01.02;15:22:47;22.7;54;1004;287;5.1;6;9;10;458063;
21.01.02;15:22:58;22.7;54;1004;295;5.3;6;9;10;469402;
21.01.02;15:23:09;22.7;54;1004;289;6.0;5;9;11;466834;
21.01.02;15:23:19;22.7;54;1004;298;5.2;4;7;8;462407;
21.01.02;15:23:30;22.7;54;1003;297;4.3;4;8;8;463978;
21.01.02;15:23:40;22.7;54;1004;292;6.0;4;8;9;463978;
21.01.02;15:23:51;22.7;54;1003;317;5.3;5;9;10;461469;
21.01.02;15:24:01;22.8;54;1004;300;5.6;5;9;10;457449;
21.01.02;15:24:12;22.7;54;1003;288;4.5;5;8;9;461781;
21.01.02;15:24:22;22.8;54;1004;292;5.1;6;8;10;469079;
21.01.02;15:24:33;22.8;54;1004;297;5.6;5;8;9;466834;
21.01.02;15:24:43;22.8;54;1004;277;5.8;4;7;7;457449;
21.01.02;15:24:54;22.8;54;1004;277;5.8;4;8;9;459296;
21.01.02;15:25:04;22.9;54;1004;294;5.2;4;8;9;453198;
21.01.02;15:25:15;22.9;54;1004;284;5.6;4;8;8;461157;
21.01.02;15:25:25;22.9;54;1004;292;5.3;6;11;11;459296;
21.01.02;15:25:36;22.9;54;1004;287;6.0;6;11;11;458063;
21.01.02;15:25:46;22.8;54;1004;269;5.3;4;7;7;467153;
21.01.02;15:25:57;22.8;54;1004;274;6.4;7;8;8;475284;
21.01.02;15:26:07;22.7;54;1004;269;4.6;7;8;8;477612;
21.01.02;15:26:18;22.6;54;1004;244;6.2;6;8;8;490304;
21.01.02;15:26:28;22.7;54;1004;250;6.2;5;7;8;497812;
21.01.02;15:26:39;22.6;54;1004;241;6.2;5;7;8;496726;
21.01.02;15:26:49;22.6;54;1004;248;6.4;7;9;12;505929;
21.01.02;15:27:00;22.6;54;1004;247;6.9;6;8;8;502947;
21.01.02;15:27:10;22.6;54;1004;230;5.7;6;8;8;501838;
21.01.02;15:27:21;22.6;54;1004;230;4.6;6;7;7;496726;
21.01.02;15:27:32;22.6;54;1004;263;6.1;5;7;7;504061;
21.01.02;15:27:42;22.6;54;1004;258;5.3;5;7;7;504434;
21.01.02;15:27:53;22.7;54;1004;241;6.1;5;9;10;496004;
21.01.02;15:28:03;22.7;54;1003;241;6.1;6;9;11;475284;
21.01.02;15:28:14;22.7;54;1004;240;6.9;6;9;11;460535;
21.01.02;15:28:24;22.7;54;1004;231;2.8;6;9;12;449320;
21.01.02;15:28:35;22.8;54;1004;227;6.3;5;9;9;457756;
21.01.02;15:28:45;22.8;54;1004;235;7.6;6;9;9;464610;
21.01.02;15:28:56;22.7;54;1003;235;4.7;6;8;8;479625;
21.01.02;15:29:06;22.8;53;1003;239;6.2;5;8;8;489952;
21.01.02;15:29:17;22.8;53;1004;239;7.3;5;8;8;489601;
21.01.02;15:29:27;22.8;54;1003;227;6.5;3;6;7;486114;
21.01.02;15:29:38;22.7;54;1004;239;7.6;5;7;8;487503;
21.01.02;15:29:48;22.8;54;1003;227;5.8;5;7;8;491363;
21.01.02;15:29:59;22.7;54;1004;223;7.7;4;8;8;486114;
